date,a_price_cny,h_price_hkd,fx_hkd_cny,fx_source_date,fx_stale_days,a_volume,h_volume
2025-03-18,43.5170,39.2282,0.921961,2025-03-18,0,5384158,7147833
2025-03-19,43.4121,39.1696,0.921942,2025-03-19,0,5279415,7273610
2025-03-20,43.3099,39.1103,0.921918,2025-03-20,0,5171226,7397127
2025-03-21,43.2106,39.0507,0.921889,2025-03-21,0,5060925,7517364
2025-03-24,43.1148,38.9909,0.921857,2025-03-24,0,5050127,7633328
2025-03-25,43.0228,38.9312,0.921821,2025-03-25,0,5160561,7744061
2025-03-26,42.9349,38.8719,0.921781,2025-03-26,0,5269015,7848650
2025-03-27,42.8514,38.8132,0.921737,2025-03-27,0,5374151,7946230
2025-03-28,42.7727,38.7553,0.921689,2025-03-28,0,5474672,8035995
2025-03-31,42.6991,38.6985,0.921637,2025-03-31,0,5569340,8117204
2025-04-01,42.6307,38.6429,0.921582,2025-04-01,0,5656986,8189186
2025-04-02,42.5677,38.5889,0.921522,2025-04-02,0,5736529,8251348
2025-04-03,42.5105,38.5366,0.921459,2025-04-03,0,5806989,8303174
2025-04-04,42.4591,38.4862,0.921393,2025-04-04,0,5867496,8344238
2025-04-07,42.4137,38.4380,0.921323,2025-04-07,0,5917305,8374200
2025-04-08,42.3744,38.3922,0.921249,2025-04-08,0,5955800,8392813
2025-04-09,42.3413,38.3490,0.921172,2025-04-09,0,5982507,8399923
2025-04-10,42.3144,38.3085,0.921092,2025-04-10,0,5997097,8395471
2025-04-11,42.2938,38.2709,0.921008,2025-04-11,0,5999390,8379495
2025-04-14,42.2794,38.2365,0.920922,2025-04-14,0,5989358,8352125
2025-04-15,42.2714,38.2053,0.920832,2025-04-15,0,5967123,8313589
2025-04-16,42.2695,38.1775,0.920740,2025-04-16,0,5932962,8264204
2025-04-17,42.2739,38.1533,0.920644,2025-04-17,0,5887294,8204378
2025-04-18,42.2842,38.1328,0.920546,2025-04-18,0,5830683,8134606
2025-04-21,42.3006,38.1162,0.920445,2025-04-21,0,5763827,8055463
2025-04-22,42.3228,38.1034,0.920342,2025-04-22,0,5687551,7967603
2025-04-23,42.3507,38.0946,0.920236,2025-04-23,0,5602795,7871752
2025-04-24,42.3842,38.0900,0.920128,2025-04-24,0,5510605,7768701
2025-04-25,42.4229,38.0895,0.920018,2025-04-25,0,5412118,7659302
2025-04-28,42.4669,38.0932,0.919905,2025-04-28,0,5308548,7544458
2025-04-29,42.5157,38.1012,0.919791,2025-04-29,0,5201173,7425117
2025-04-30,42.5693,38.1135,0.919674,2025-04-30,0,5091317,7302266
2025-05-01,42.6273,38.1301,0.919556,2025-05-01,0,5019665,7176918
2025-05-02,42.6896,38.1510,0.919437,2025-05-02,0,5130405,7050109
2025-05-05,42.7557,38.1762,0.919316,2025-05-05,0,5239536,7077113
2025-05-06,42.8256,38.2058,0.919193,2025-05-06,0,5345714,7203700
2025-05-07,42.8988,38.2395,0.919069,2025-05-07,0,5447627,7328603
2025-05-08,42.9751,38.2775,0.918944,2025-05-08,0,5544021,7450793
2025-05-09,43.0542,38.3196,0.918819,2025-05-09,0,5633704,7569260
2025-05-12,43.1358,38.3658,0.918692,2025-05-12,0,5715573,7683026
2025-05-13,43.2197,38.4160,0.918564,2025-05-13,0,5788616,7791150
2025-05-14,43.3054,38.4700,0.918436,2025-05-14,0,5851933,7892741
2025-05-15,43.3927,38.5279,0.918308,2025-05-15,0,5904743,7986959
2025-05-16,43.4814,38.5893,0.918179,2025-05-16,0,5946395,8073025
2025-05-19,43.5711,38.6543,0.918050,2025-05-19,0,5976375,8150230
2025-05-20,43.6614,38.7227,0.917921,2025-05-20,0,5994314,8217935
2025-05-21,43.7523,38.7942,0.917792,2025-05-21,0,5999990,8275582
2025-05-22,43.8432,38.8689,0.917664,2025-05-22,0,5993333,8322694
2025-05-23,43.9341,38.9463,0.917535,2025-05-23,0,5974425,8358882
2025-05-26,44.0246,39.0265,0.917407,2025-05-26,0,5943499,8383847
2025-05-27,44.1145,39.1092,0.917280,2025-05-27,0,5900937,8397384
2025-05-28,44.2035,39.1942,0.917153,2025-05-28,0,5847265,8399379
2025-05-29,44.2915,39.2812,0.917028,2025-05-29,0,5783142,8389818
2025-05-30,44.3781,39.3702,0.916903,2025-05-30,0,5709362,8368778
2025-06-02,44.4633,39.4608,0.916780,2025-06-02,0,5626832,8336434
2025-06-03,44.5469,39.5528,0.916657,2025-06-03,0,5536572,8293053
2025-06-04,44.6286,39.6461,0.916537,2025-06-04,0,5439695,8238993
2025-06-05,44.7084,39.7403,0.916417,2025-06-05,0,5337395,8174700
2025-06-06,44.7861,39.8352,0.916300,2025-06-06,0,5230933,8100705
2025-06-09,44.8616,39.9307,0.916184,2025-06-09,0,5121624,8017620
2025-06-10,44.9348,40.0264,0.916070,2025-06-10,0,5010814,7926131
2025-06-11,45.0056,40.1222,0.915958,2025-06-11,0,5100127,7826993
2025-06-12,45.0740,40.2177,0.915848,2025-06-12,0,5209835,7721025
2025-06-13,45.1400,40.3128,0.915740,2025-06-13,0,5316955,7609102
2025-06-16,45.2034,40.4072,0.915635,2025-06-16,0,5420167,7492149
2025-06-17,45.2644,40.5006,0.915532,2025-06-17,0,5518196,7371131
2025-06-18,45.3230,40.5929,0.915432,2025-06-18,0,5609834,7247048
2025-06-19,45.3791,40.6838,0.915334,2025-06-19,0,5693951,7120925
2025-06-20,45.4327,40.7731,0.915240,2025-06-20,0,5769510,7006195
2025-06-23,45.4840,40.8605,0.915148,2025-06-23,0,5835578,7133266
2025-06-24,45.5331,40.9459,0.915059,2025-06-24,0,5891341,7259236
2025-06-25,45.5799,41.0291,0.914973,2025-06-25,0,5936111,7383065
2025-06-26,45.6246,41.1098,0.914890,2025-06-26,0,5969337,7503731
2025-06-27,45.6673,41.1878,0.914811,2025-06-27,0,5990607,7620236
2025-06-30,45.7080,41.2630,0.914734,2025-06-30,0,5999660,7731619
2025-07-01,45.7469,41.3351,0.914662,2025-07-01,0,5996384,7836959
2025-07-02,45.7841,41.4041,0.914592,2025-07-02,0,5980820,7935388
2025-07-03,45.8197,41.4698,0.914526,2025-07-03,0,5953160,8026091
2025-07-04,45.8538,41.5320,0.914464,2025-07-04,0,5913744,8108320
2025-07-07,45.8865,41.5905,0.914406,2025-07-07,0,5863059,8181395
2025-07-08,45.9180,41.6453,0.914351,2025-07-08,0,5801730,8244714
2025-07-09,45.9483,41.6962,0.914300,2025-07-09,0,5730514,8297752
2025-07-10,45.9776,41.7432,0.914253,2025-07-10,0,5650287,8340073
2025-07-11,46.0059,41.7861,0.914210,2025-07-11,0,5562041,8371327
2025-07-14,46.0333,41.8249,0.914171,2025-07-14,0,5466863,8391255
2025-07-15,46.0599,41.8595,0.914135,2025-07-15,0,5365928,8399693
2025-07-16,46.0859,41.8899,0.914104,2025-07-16,0,5260479,8396572
2025-07-17,46.1111,41.9159,0.914077,2025-07-17,0,5151818,8381916
2025-07-18,46.1358,41.9377,0.914054,2025-07-18,0,5041284,8355847
2025-07-21,46.1599,41.9551,0.914035,2025-07-21,0,5069757,8318581
2025-07-22,46.1834,41.9683,0.914020,2025-07-22,0,5179940,8270425
2025-07-23,46.2064,41.9771,0.914009,2025-07-23,0,5287903,8211777
2025-07-24,46.2289,41.9817,0.914002,2025-07-24,0,5392315,8143121
2025-07-25,46.2509,41.9820,0.914000,2025-07-25,0,5491889,8065024
2025-07-28,46.2723,41.9781,0.914002,2025-07-28,0,5585397,7978131
2025-07-29,46.2932,41.9701,0.914008,2025-07-29,0,5671685,7883160
2025-07-30,46.3134,41.9581,0.914018,2025-07-30,0,5749689,7780896
2025-07-31,46.3329,41.9422,0.914032,2025-07-31,0,5818447,7672182
2025-08-01,46.3517,41.9224,0.914050,2025-08-01,0,5877111,7557917
2025-08-04,46.3696,41.8990,0.914073,2025-08-04,0,5924958,7439044
2025-08-05,46.3867,41.8719,0.914099,2025-08-05,0,5961397,7316545
2025-08-06,46.4028,41.8414,0.914130,2025-08-06,0,5985979,7191432
2025-08-07,46.4178,41.8075,0.914164,2025-08-07,0,5998402,7064737
2025-08-08,46.4316,41.7706,0.914203,2025-08-08,0,5998511,7062490
2025-08-11,46.4442,41.7306,0.914245,2025-08-11,0,5986305,7189203
2025-08-12,46.4554,41.6879,0.914292,2025-08-12,0,5961935,7314353
2025-08-13,46.4651,41.6426,0.914342,2025-08-13,0,5925702,7436907
2025-08-14,46.4733,41.5948,0.914396,2025-08-14,0,5878052,7555853
2025-08-15,46.4798,41.5449,0.914454,2025-08-15,0,5819573,7670208
2025-08-18,46.4845,41.4930,0.914516,2025-08-18,0,5750987,7779028
2025-08-19,46.4873,41.4392,0.914581,2025-08-19,0,5673138,7881414
2025-08-20,46.4883,41.3840,0.914650,2025-08-20,0,5586988,7976521
2025-08-21,46.4872,41.3274,0.914722,2025-08-21,0,5493598,8063563
2025-08-22,46.4841,41.2696,0.914797,2025-08-22,0,5394121,8141821
2025-08-25,46.4788,41.2111,0.914876,2025-08-25,0,5289783,8210649
2025-08-26,46.4714,41.1518,0.914959,2025-08-26,0,5181871,8269478
2025-08-27,46.4617,41.0922,0.915044,2025-08-27,0,5071716,8317824
2025-08-28,46.4499,41.0325,0.915132,2025-08-28,0,5039322,8355285
2025-08-29,46.4358,40.9728,0.915224,2025-08-29,0,5149877,8381554
2025-09-01,46.4195,40.9134,0.915318,2025-09-01,0,5258583,8396412
2025-09-02,46.4011,40.8546,0.915415,2025-09-02,0,5364100,8399739
2025-09-03,46.3804,40.7966,0.915515,2025-09-03,0,5465126,8391504
2025-09-04,46.3577,40.7397,0.915618,2025-09-04,0,5560416,8371778
2025-09-05,46.3330,40.6840,0.915722,2025-09-05,0,5648794,8340723
2025-09-08,46.3063,40.6298,0.915830,2025-09-08,0,5729171,8298595
2025-09-09,46.2778,40.5773,0.915939,2025-09-09,0,5800555,8245742
2025-09-10,46.2476,40.5268,0.916051,2025-09-10,0,5862066,8182600
2025-09-11,46.2158,40.4784,0.916164,2025-09-11,0,5912945,8109692
2025-09-12,46.1825,40.4323,0.916280,2025-09-12,0,5952564,8027620
2025-09-15,46.1480,40.3888,0.916397,2025-09-15,0,5980436,7937060
2025-09-16,46.1123,40.3480,0.916516,2025-09-16,0,5996216,7838761
2025-09-17,46.0757,40.3102,0.916637,2025-09-17,0,5999709,7733535
2025-09-18,46.0384,40.2754,0.916759,2025-09-18,0,5990873,7622252
2025-09-19,46.0005,40.2439,0.916882,2025-09-19,0,5969817,7505829
2025-09-22,45.9624,40.2158,0.917007,2025-09-22,0,5936800,7385228
2025-09-23,45.9241,40.1913,0.917132,2025-09-23,0,5892230,7261446
2025-09-24,45.8861,40.1704,0.917259,2025-09-24,0,5836655,7135505
2025-09-25,45.8484,40.1534,0.917386,2025-09-25,0,5770762,7008445
2025-09-26,45.8113,40.1402,0.917514,2025-09-26,0,5695364,7118684
2025-09-29,45.7752,40.1310,0.917642,2025-09-29,0,5611389,7244834
2025-09-30,45.7402,40.1260,0.917771,2025-09-30,0,5519874,7368962
2025-10-01,45.7066,40.1251,0.917900,2025-10-01,0,5421948,7490043
2025-10-02,45.6746,40.1284,0.918029,2025-10-02,0,5318817,7607076
2025-10-03,45.6446,40.1360,0.918158,2025-10-03,0,5211755,7719096
2025-10-06,45.6168,40.1478,0.918286,2025-10-06,0,5102081,7825177
2025-10-07,45.5914,40.1640,0.918415,2025-10-07,0,5008851,7924443
2025-10-08,45.5686,40.1845,0.918543,2025-10-08,0,5119675,8016074
2025-10-09,45.5489,40.2093,0.918671,2025-10-09,0,5229022,8099314
2025-10-10,45.5322,40.2384,0.918797,2025-10-10,0,5335545,8173474
2025-10-13,45.5190,40.2718,0.918923,2025-10-13,0,5437930,8237944
2025-10-14,45.5095,40.3094,0.919048,2025-10-14,0,5534914,8292189
2025-10-15,45.5037,40.3511,0.919172,2025-10-15,0,5625301,8335762
2025-10-16,45.5021,40.3969,0.919295,2025-10-16,0,5707976,8368304
2025-10-17,45.5046,40.4467,0.919416,2025-10-17,0,5781920,8389545
2025-10-20,45.5116,40.5004,0.919536,2025-10-20,0,5846220,8399311
2025-10-21,45.5232,40.5578,0.919655,2025-10-21,0,5900084,8397519
2025-10-22,45.5396,40.6190,0.919771,2025-10-22,0,5942847,8384186
2025-10-23,45.5608,40.6836,0.919886,2025-10-23,0,5973981,8359421
2025-10-24,45.5870,40.7516,0.919999,2025-10-24,0,5993104,8323429
2025-10-27,45.6183,40.8229,0.920110,2025-10-27,0,5999979,8276507
2025-10-28,45.6548,40.8972,0.920218,2025-10-28,0,5994521,8219043
2025-10-29,45.6966,40.9744,0.920324,2025-10-29,0,5976798,8151511
2025-10-30,45.7436,41.0544,0.920428,2025-10-30,0,5947028,8074469
2025-10-31,45.7960,41.1368,0.920529,2025-10-31,0,5905578,7988553
2025-11-03,45.8536,41.2216,0.920628,2025-11-03,0,5852960,7894472
2025-11-04,45.9165,41.3084,0.920724,2025-11-04,0,5789822,7793005
2025-11-05,45.9847,41.3972,0.920817,2025-11-05,0,5716943,7684988
2025-11-06,46.0580,41.4876,0.920907,2025-11-06,0,5635222,7571314
2025-11-07,46.1363,41.5796,0.920994,2025-11-07,0,5545667,7452922
2025-11-10,46.2196,41.6727,0.921078,2025-11-10,0,5449383,7330789
2025-11-11,46.3077,41.7668,0.921159,2025-11-11,0,5347556,7205925
2025-11-12,46.4003,41.8617,0.921236,2025-11-12,0,5241442,7079359
2025-11-13,46.4974,41.9571,0.921311,2025-11-13,0,5132351,7047861
2025-11-14,46.5987,42.0529,0.921381,2025-11-14,0,5021628,7174686
2025-11-17,46.7039,42.1486,0.921448,2025-11-17,0,5089361,7300069
2025-11-18,46.8127,42.2442,0.921512,2025-11-18,0,5199249,7422974
2025-11-19,46.9250,42.3393,0.921572,2025-11-19,0,5306680,7542385
2025-11-20,47.0403,42.4338,0.921628,2025-11-20,0,5410328,7657317
2025-11-21,47.1582,42.5273,0.921681,2025-11-21,0,5508916,7766820
2025-11-24,47.2786,42.6197,0.921729,2025-11-24,0,5601227,7869991
2025-11-25,47.4008,42.7108,0.921774,2025-11-25,0,5686124,7965976
2025-11-26,47.5247,42.8002,0.921815,2025-11-26,0,5762558,8053984
2025-11-27,47.6496,42.8879,0.921852,2025-11-27,0,5829588,8133286
2025-11-28,47.7753,42.9735,0.921884,2025-11-28,0,5886386,8203230
2025-12-01,47.9012,43.0568,0.921913,2025-12-01,0,5932253,8263236
2025-12-02,48.0269,43.1378,0.921938,2025-12-02,0,5966622,8312809
2025-12-03,48.1519,43.2161,0.921958,2025-12-03,0,5989070,8351540
2025-12-04,48.2758,43.2915,0.921975,2025-12-04,0,5999320,8379109
2025-12-05,48.3980,43.3640,0.921987,2025-12-05,0,5997245,8395289
2025-12-08,48.5181,43.4333,0.921995,2025-12-08,0,5982871,8399945
2025-12-09,48.6357,43.4993,0.922000,2025-12-09,0,5956375,8393039
2025-12-10,48.7501,43.5618,0.921999,2025-12-10,0,5918085,8374628
2025-12-11,48.8609,43.6207,0.921995,2025-12-11,0,5868471,8344865
2025-12-12,48.9678,43.6759,0.921987,2025-12-12,0,5808147,8303994
2025-12-15,49.0701,43.7272,0.921974,2025-12-15,0,5737856,8252355
2025-12-16,49.1675,43.7746,0.921957,2025-12-16,0,5658465,8190372
2025-12-17,49.2595,43.8179,0.921937,2025-12-17,0,5570953,8118558
2025-12-18,49.3458,43.8571,0.921912,2025-12-18,0,5476400,8037507
2025-12-19,49.4259,43.8921,0.921883,2025-12-19,0,5375971,7947886
2025-12-22,49.4994,43.9229,0.921850,2025-12-22,0,5270905,7850438
2025-12-23,49.5661,43.9493,0.921813,2025-12-23,0,5162498,7745966
2025-12-24,49.6257,43.9715,0.921772,2025-12-24,0,5052088,7635333
2025-12-25,49.6777,43.9894,0.921727,2025-12-25,0,5058965,7519453
2025-12-26,49.7221,44.0029,0.921678,2025-12-26,0,5169291,7399283
2025-12-29,49.7585,44.0122,0.921625,2025-12-29,0,5277529,7275815
2025-12-30,49.7868,44.0171,0.921569,2025-12-30,0,5382344,7150070
2025-12-31,49.8069,44.0179,0.921509,2025-12-31,0,5482444,7023085
2026-01-01,49.8187,44.0144,0.921445,2026-01-01,0,5576595,7104090
2026-01-02,49.8220,44.0069,0.921378,2026-01-02,0,5663633,7230405
2026-01-05,49.8169,43.9952,0.921307,2026-01-05,0,5742488,7354818
2026-01-06,49.8033,43.9797,0.921232,2026-01-06,0,5812185,7476301
2026-01-07,49.7814,43.9603,0.921155,2026-01-07,0,5871865,7593850
2026-01-08,49.7513,43.9372,0.921074,2026-01-08,0,5920793,7706495
2026-01-09,49.7130,43.9104,0.920990,2026-01-09,0,5958365,7813304
2026-01-12,49.6667,43.8802,0.920902,2026-01-12,0,5984117,7913397
2026-01-13,49.6127,43.8467,0.920812,2026-01-13,0,5997732,8005946
2026-01-14,49.5512,43.8101,0.920719,2026-01-14,0,5999042,8090188
2026-01-15,49.4825,43.7704,0.920623,2026-01-15,0,5988031,8165426
2026-01-16,49.4069,43.7279,0.920524,2026-01-16,0,5964835,8231038
2026-01-19,49.3249,43.6829,0.920423,2026-01-19,0,5929739,8286484
2026-01-20,49.2367,43.6353,0.920319,2026-01-20,0,5883177,8331305
2026-01-21,49.1428,43.5856,0.920212,2026-01-21,0,5825722,8365132
2026-01-22,49.0436,43.5339,0.920104,2026-01-22,0,5758084,8387683
2026-01-23,48.9397,43.4803,0.919993,2026-01-23,0,5681097,8398775
2026-01-26,48.8315,43.4252,0.919880,2026-01-26,0,5595709,8398314
2026-01-27,48.7195,43.3687,0.919765,2026-01-27,0,5502975,8386305
2026-01-28,48.6043,43.3111,0.919648,2026-01-28,0,5404037,8362846
2026-01-29,48.4865,43.2525,0.919530,2026-01-29,0,5300117,8328132
2026-01-30,48.3665,43.1934,0.919410,2026-01-30,0,5192495,8282450
2026-02-02,48.2451,43.1338,0.919289,2026-02-02,0,5082499,8226176
2026-02-03,48.1227,43.0740,0.919166,2026-02-03,0,5028514,8159775
2026-02-04,47.9999,43.0143,0.919042,2026-02-04,0,5139175,8083796
2026-02-05,47.8774,42.9549,0.918917,2026-02-05,0,5248121,7998866
2026-02-06,47.7557,42.8961,0.918791,2026-02-06,0,5354006,7905687
2026-02-09,47.6354,42.8380,0.918664,2026-02-09,0,5455525,7805027
2026-02-10,47.7135,42.7809,0.918536,2026-02-10,0,5551426,7697720
2026-02-11,47.7937,42.7251,0.918408,2026-02-11,0,5640527,7584650
2026-02-12,47.8764,42.6708,0.918280,2026-02-12,0,5721728,7466751
2026-02-13,47.9622,42.6181,0.918151,2026-02-13,0,5794027,7344998
2026-02-16,48.0518,42.5674,0.918022,2026-02-16,0,5856535,7220395
2026-02-17,48.1456,42.5187,0.917893,2026-02-17,0,5908478,7093972
2026-02-18,48.2441,42.4724,0.917764,2026-02-18,0,5949217,7033226
2026-02-19,48.3479,42.4287,0.917635,2026-02-19,0,5978250,7160150
2026-02-20,48.4574,42.3876,0.917507,2026-02-20,0,5995218,7285752
2026-02-23,48.5731,42.3495,0.917379,2026-02-23,0,5999911,7408994
2026-02-24,48.6955,42.3144,0.917252,2026-02-24,0,5992273,7528858
2026-02-25,48.8249,42.2826,0.917126,2026-02-25,0,5972397,7644354
